Episode,Train_Reward,Val_Reward,Epsilon,Learning_Rate
306,581.3187013864517,,0.01,0.0001
307,200.9708733856678,,0.01,0.0001
308,579.0540744289756,,0.01,0.0001
309,-18.840584106743336,,0.01,0.0001
310,90.47619497030973,,0.01,0.0001
311,588.5245892181993,,0.01,0.0001
312,744.9367377758026,,0.01,0.0001
313,671.3310401812196,,0.01,0.0001
314,833.3333558142185,,0.01,0.0001
315,269.8630025908351,,0.01,0.0001
316,257.7981551811099,,0.01,0.0001
317,612.8378593102098,,0.01,0.0001
318,665.7342539578676,,0.01,0.0001
319,634.4827654063702,,0.01,0.0001
320,596.2963012009859,,0.01,0.0001
321,635.4838966280222,,0.01,0.0001
322,125.45454180985689,,0.01,0.0001
323,353.2871886640787,,0.01,0.0001
324,263.6363620907068,,0.01,0.0001
325,69.01408692449331,,0.01,0.0001
326,-67.5090274810791,,0.01,0.0001
327,554.3624037653208,,0.01,0.0001
328,719.923377007246,,0.01,0.0001
329,628.7066506817937,,0.01,0.0001
330,386.8420957252383,,0.01,0.0001
331,786.1209746599197,,0.01,0.0001
332,594.0063339993358,,0.01,0.0001
333,353.87453339248896,,0.01,0.0001
334,811.4391055256128,,0.01,0.0001
335,4.918031297624111,,0.01,0.0001
336,342.3077023997903,,0.01,0.0001
337,794.1605579555035,,0.01,0.0001
338,698.679863370955,,0.01,0.0001
339,275.3753707706928,,0.01,0.0001
340,861.5384471565485,,0.01,0.0001
341,287.32395125180483,,0.01,0.0001
342,849.2753471806645,,0.01,0.0001
343,223.30827850103378,,0.01,0.0001
344,888.7640228718519,,0.01,0.0001
345,534.7517699375749,,0.01,0.0001
346,522.8956086859107,,0.01,0.0001
347,587.4999871850014,,0.01,0.0001
348,-36.170214496552944,,0.01,0.0001
349,195.9183713644743,,0.01,0.0001
350,454.77032440155745,,0.01,0.0001
351,207.9470091164112,,0.01,0.0001
352,487.6623479053378,,0.01,0.0001
353,577.0186109319329,,0.01,0.0001
354,348.50497049838305,,0.01,0.0001
355,449.01959028095007,,0.01,0.0001
356,313.043464794755,,0.01,0.0001
357,665.3958739191294,,0.01,0.0001
358,369.0553864091635,,0.01,0.0001
359,853.4883797839284,,0.01,0.0001
360,505.67825492471457,,0.01,0.0001
361,183.13252056390047,,0.01,0.0001
362,841.7178054451942,,0.01,0.0001
363,241.21622571349144,,0.01,0.0001
364,656.3636278733611,,0.01,0.0001
365,874.820138797164,,0.01,0.0001
366,913.4999950230122,,0.01,0.0001
367,865.0349504128098,,0.01,0.0001
368,552.0270464271307,,0.01,0.0001
369,325.2491567954421,,0.01,0.0001
370,241.72661617398262,,0.01,0.0001
371,535.761568389833,,0.01,0.0001
372,89.78101550787687,,0.01,0.0001
373,353.3333340138197,,0.01,0.0001
374,206.9620347842574,,0.01,0.0001
375,396.7742104306817,,0.01,0.0001
376,421.42857901006937,,0.01,0.0001
377,649.128905698657,,0.01,0.0001
378,645.9807259514928,,0.01,0.0001
379,867.1532566547394,,0.01,0.0001
380,871.6312019005418,,0.01,0.0001
381,194.31437604129314,,0.01,0.0001
382,403.6231795325875,,0.01,0.0001
383,453.9568309560418,,0.01,0.0001
384,215.28663090616465,,0.01,0.0001
385,802.0978883132339,,0.01,0.0001
386,372.6688215881586,,0.01,0.0001
387,631.4487721994519,,0.01,0.0001
388,642.3312991261482,,0.01,0.0001
389,878.4946045950055,,0.01,0.0001
390,198.8165656477213,,0.01,0.0001
391,606.7137895077467,,0.01,0.0001
392,576.3636283129454,,0.01,0.0001
393,881.412651963532,,0.01,0.0001
394,346.96970254927874,,0.01,0.0001
395,763.4686258286238,,0.01,0.0001
396,291.81285271048546,,0.01,0.0001
397,604.0816443040967,,0.01,0.0001
398,803.9734816625714,,0.01,0.0001
399,687.1621861457825,,0.01,0.0001
400,298.6927974000573,472.44645578105127,0.01,0.0001
401,920.4000166878104,,0.01,0.0001
402,863.5036217197776,,0.01,0.0001
403,508.280269369483,,0.01,0.0001
404,781.7891448661685,,0.01,0.0001
405,778.3784053251147,,0.01,0.0001
406,630.2631442844868,,0.01,0.0001
407,855.7823293432593,,0.01,0.0001
408,904.6000308692455,,0.01,0.0001
409,841.3793193921447,,0.01,0.0001
410,323.9765947908163,,0.01,0.0001
411,896.610149949789,,0.01,0.0001
412,892.8825387656689,,0.01,0.0001
413,893.0555436909199,,0.01,0.0001
414,792.0634665191174,,0.01,0.0001
415,208.91720408201218,,0.01,0.0001
416,925.9000271335244,,0.01,0.0001
